student_email,attendance_pct,assignments_pct,quizzes_pct,exams_pct,gpa,term
2103011@student.ruet.ac.bd,94,85,84,58,2.46,1-1
2103011@student.ruet.ac.bd,98,79,84,69,2.81,1-2
2103011@student.ruet.ac.bd,94,85,84,70,2.93,2-1
2103011@student.ruet.ac.bd,94,85,83,66,2.95,2-2
2103011@student.ruet.ac.bd,96,78,87,66,2.93,3-1
2103011@student.ruet.ac.bd,93,91,90,61,2.88,3-2
2103012@student.ruet.ac.bd,77,79,76,75,3.02,1-1
2103012@student.ruet.ac.bd,77,84,85,77,3.17,1-2
2103012@student.ruet.ac.bd,71,87,84,85,3.30,2-1
2103012@student.ruet.ac.bd,72,82,85,70,3.22,2-2
2103012@student.ruet.ac.bd,84,81,89,73,3.21,3-1
2103012@student.ruet.ac.bd,81,78,82,79,3.23,3-2
2103013@student.ruet.ac.bd,81,81,85,75,3.19,1-1
2103013@student.ruet.ac.bd,81,88,91,73,3.15,1-2
2103013@student.ruet.ac.bd,75,87,89,77,3.21,2-1
2103013@student.ruet.ac.bd,84,87,87,79,3.26,2-2
2103013@student.ruet.ac.bd,84,88,90,69,3.21,3-1
2103013@student.ruet.ac.bd,78,84,89,68,3.15,3-2
2103014@student.ruet.ac.bd,73,64,64,76,3.02,1-1
2103014@student.ruet.ac.bd,75,62,56,84,3.20,1-2
2103014@student.ruet.ac.bd,80,66,70,77,3.19,2-1
2103014@student.ruet.ac.bd,80,65,69,88,3.30,2-2
2103014@student.ruet.ac.bd,80,64,58,87,3.35,3-1
2103014@student.ruet.ac.bd,79,74,66,78,3.31,3-2
2103015@student.ruet.ac.bd,63,86,85,49,1.79,1-1
2103015@student.ruet.ac.bd,66,90,90,49,1.82,1-2
2103015@student.ruet.ac.bd,67,86,85,51,1.81,2-1
2103015@student.ruet.ac.bd,69,96,92,53,1.97,2-2
2103015@student.ruet.ac.bd,52,90,87,47,1.85,3-1
2103015@student.ruet.ac.bd,65,85,78,55,1.95,3-2
2103016@student.ruet.ac.bd,84,69,72,81,3.40,1-1
2103016@student.ruet.ac.bd,86,65,65,71,3.16,1-2
2103016@student.ruet.ac.bd,85,70,73,76,3.17,2-1
2103016@student.ruet.ac.bd,90,72,69,73,3.17,2-2
2103016@student.ruet.ac.bd,84,67,71,83,3.20,3-1
2103016@student.ruet.ac.bd,88,70,65,85,3.25,3-2
2103017@student.ruet.ac.bd,89,97,95,84,3.60,1-1
2103017@student.ruet.ac.bd,87,94,88,71,3.39,1-2
2103017@student.ruet.ac.bd,87,90,87,82,3.44,2-1
2103017@student.ruet.ac.bd,86,90,87,79,3.43,2-2
2103017@student.ruet.ac.bd,88,94,92,78,3.42,3-1
2103017@student.ruet.ac.bd,89,88,93,78,3.42,3-2
2103018@student.ruet.ac.bd,87,72,69,55,2.17,1-1
2103018@student.ruet.ac.bd,79,72,71,55,1.98,1-2
2103018@student.ruet.ac.bd,87,63,71,58,1.96,2-1
2103018@student.ruet.ac.bd,83,62,65,60,2.11,2-2
2103018@student.ruet.ac.bd,82,68,68,67,2.26,3-1
2103018@student.ruet.ac.bd,78,73,69,64,2.31,3-2
2103019@student.ruet.ac.bd,82,91,86,83,3.58,1-1
2103019@student.ruet.ac.bd,78,91,84,81,3.55,1-2
2103019@student.ruet.ac.bd,74,92,89,78,3.46,2-1
2103019@student.ruet.ac.bd,83,94,91,67,3.37,2-2
2103019@student.ruet.ac.bd,81,89,89,80,3.38,3-1
2103019@student.ruet.ac.bd,77,87,89,70,3.31,3-2
2103020@student.ruet.ac.bd,77,82,73,55,2.27,1-1
2103020@student.ruet.ac.bd,69,74,78,56,2.15,1-2
2103020@student.ruet.ac.bd,70,75,75,55,2.03,2-1
2103020@student.ruet.ac.bd,74,74,75,55,1.96,2-2
2103020@student.ruet.ac.bd,67,75,75,49,1.86,3-1
2103020@student.ruet.ac.bd,76,75,83,49,1.83,3-2
2103021@student.ruet.ac.bd,94,55,56,74,3.08,1-1
2103021@student.ruet.ac.bd,89,60,54,71,3.04,1-2
2103021@student.ruet.ac.bd,91,57,57,79,3.12,2-1
2103021@student.ruet.ac.bd,93,59,56,74,3.12,2-2
2103021@student.ruet.ac.bd,96,57,59,63,3.02,3-1
2103021@student.ruet.ac.bd,93,65,53,73,3.03,3-2
2103022@student.ruet.ac.bd,66,61,57,81,3.19,1-1
2103022@student.ruet.ac.bd,66,71,66,76,3.15,1-2
2103022@student.ruet.ac.bd,74,61,60,65,2.99,2-1
2103022@student.ruet.ac.bd,74,63,65,72,2.97,2-2
2103022@student.ruet.ac.bd,68,65,59,75,2.99,3-1
2103022@student.ruet.ac.bd,71,66,62,66,2.94,3-2
2103023@student.ruet.ac.bd,74,87,86,81,3.42,1-1
2103023@student.ruet.ac.bd,65,86,89,83,3.45,1-2
2103023@student.ruet.ac.bd,65,84,81,78,3.37,2-1
2103023@student.ruet.ac.bd,66,83,84,78,3.31,2-2
2103023@student.ruet.ac.bd,65,81,70,82,3.30,3-1
2103023@student.ruet.ac.bd,64,86,88,82,3.30,3-2
2103024@student.ruet.ac.bd,62,89,89,78,3.23,1-1
2103024@student.ruet.ac.bd,62,92,89,79,3.27,1-2
2103024@student.ruet.ac.bd,71,92,91,73,3.21,2-1
2103024@student.ruet.ac.bd,55,89,83,67,3.09,2-2
2103024@student.ruet.ac.bd,66,93,89,71,3.09,3-1
2103024@student.ruet.ac.bd,67,93,91,71,3.08,3-2
2103025@student.ruet.ac.bd,74,65,62,80,3.19,1-1
2103025@student.ruet.ac.bd,58,87,79,72,3.06,1-2
2103025@student.ruet.ac.bd,57,76,69,76,3.05,2-1
2103025@student.ruet.ac.bd,56,76,78,78,3.08,2-2
2103025@student.ruet.ac.bd,60,74,72,83,3.13,3-1
2103025@student.ruet.ac.bd,67,75,70,86,3.18,3-2
2103026@student.ruet.ac.bd,91,84,84,74,3.29,1-1
2103026@student.ruet.ac.bd,91,79,82,71,3.24,1-2
2103026@student.ruet.ac.bd,91,81,84,82,3.36,2-1
2103026@student.ruet.ac.bd,95,74,80,70,3.28,2-2
2103026@student.ruet.ac.bd,90,78,76,78,3.29,3-1
2103026@student.ruet.ac.bd,85,75,80,74,3.25,3-2
2103027@student.ruet.ac.bd,74,70,73,59,2.25,1-1
2103027@student.ruet.ac.bd,86,67,59,54,2.12,1-2
2103027@student.ruet.ac.bd,83,74,67,49,1.93,2-1
2103027@student.ruet.ac.bd,79,65,66,49,1.74,2-2
2103027@student.ruet.ac.bd,83,69,72,49,1.81,3-1
2103027@student.ruet.ac.bd,82,67,70,43,1.66,3-2
2103028@student.ruet.ac.bd,93,89,85,55,1.98,1-1
2103028@student.ruet.ac.bd,94,93,90,60,2.37,1-2
2103028@student.ruet.ac.bd,93,96,95,58,2.47,2-1
2103028@student.ruet.ac.bd,82,95,95,52,2.48,2-2
2103028@student.ruet.ac.bd,91,91,93,47,2.39,3-1
2103028@student.ruet.ac.bd,84,93,97,55,2.39,3-2
2103029@student.ruet.ac.bd,71,75,77,58,2.44,1-1
2103029@student.ruet.ac.bd,78,72,78,56,2.29,1-2
2103029@student.ruet.ac.bd,78,80,80,57,2.33,2-1
2103029@student.ruet.ac.bd,70,74,84,57,2.25,2-2
2103029@student.ruet.ac.bd,75,71,79,60,2.31,3-1
2103029@student.ruet.ac.bd,69,76,75,59,2.30,3-2
2103030@student.ruet.ac.bd,84,91,81,67,3.02,1-1
2103030@student.ruet.ac.bd,83,86,85,67,2.98,1-2
2103030@student.ruet.ac.bd,82,83,89,69,2.99,2-1
2103030@student.ruet.ac.bd,92,81,79,63,2.95,2-2
2103030@student.ruet.ac.bd,93,86,80,59,2.85,3-1
2103030@student.ruet.ac.bd,87,80,80,61,2.82,3-2
2103031@student.ruet.ac.bd,92,95,96,81,3.56,1-1
2103031@student.ruet.ac.bd,91,92,90,88,3.69,1-2
2103031@student.ruet.ac.bd,85,91,93,77,3.58,2-1
2103031@student.ruet.ac.bd,93,95,90,85,3.60,2-2
2103031@student.ruet.ac.bd,93,90,87,89,3.64,3-1
2103031@student.ruet.ac.bd,94,91,90,85,3.62,3-2
2103032@student.ruet.ac.bd,70,78,79,64,2.71,1-1
2103032@student.ruet.ac.bd,75,83,82,54,2.23,1-2
2103032@student.ruet.ac.bd,71,81,72,63,2.38,2-1
2103032@student.ruet.ac.bd,75,78,85,68,2.51,2-2
2103032@student.ruet.ac.bd,79,78,86,61,2.52,3-1
2103032@student.ruet.ac.bd,70,74,81,68,2.58,3-2
2103033@student.ruet.ac.bd,79,78,79,62,2.69,1-1
2103033@student.ruet.ac.bd,88,67,62,57,2.57,1-2
2103033@student.ruet.ac.bd,77,68,73,63,2.58,2-1
2103033@student.ruet.ac.bd,72,64,64,66,2.54,2-2
2103033@student.ruet.ac.bd,82,70,74,66,2.59,3-1
2103033@student.ruet.ac.bd,82,72,66,70,2.64,3-2
2103034@student.ruet.ac.bd,81,67,59,60,2.27,1-1
2103034@student.ruet.ac.bd,82,61,58,56,2.37,1-2
2103034@student.ruet.ac.bd,85,65,73,58,2.39,2-1
2103034@student.ruet.ac.bd,84,64,59,54,2.31,2-2
2103034@student.ruet.ac.bd,77,60,56,56,2.26,3-1
2103034@student.ruet.ac.bd,87,57,54,59,2.25,3-2
2103035@student.ruet.ac.bd,81,83,73,54,2.19,1-1
2103035@student.ruet.ac.bd,77,74,74,57,2.16,1-2
2103035@student.ruet.ac.bd,73,86,79,46,1.94,2-1
2103035@student.ruet.ac.bd,81,81,75,51,1.95,2-2
2103035@student.ruet.ac.bd,73,81,80,52,1.95,3-1
2103035@student.ruet.ac.bd,79,83,83,49,1.94,3-2
2103036@student.ruet.ac.bd,67,73,68,71,2.60,1-1
2103036@student.ruet.ac.bd,72,76,79,69,2.76,1-2
2103036@student.ruet.ac.bd,71,69,63,69,2.79,2-1
2103036@student.ruet.ac.bd,61,68,65,78,2.88,2-2
2103036@student.ruet.ac.bd,61,75,76,74,2.84,3-1
2103036@student.ruet.ac.bd,70,78,71,76,2.88,3-2
2103037@student.ruet.ac.bd,90,65,65,67,2.87,1-1
2103037@student.ruet.ac.bd,95,67,63,76,3.03,1-2
2103037@student.ruet.ac.bd,91,66,61,66,2.94,2-1
2103037@student.ruet.ac.bd,93,66,59,70,2.97,2-2
2103037@student.ruet.ac.bd,94,56,66,70,2.96,3-1
2103037@student.ruet.ac.bd,93,60,66,68,2.96,3-2
2103038@student.ruet.ac.bd,58,62,64,86,3.31,1-1
2103038@student.ruet.ac.bd,70,64,68,90,3.40,1-2
2103038@student.ruet.ac.bd,67,67,68,86,3.42,2-1
2103038@student.ruet.ac.bd,66,67,61,85,3.41,2-2
2103038@student.ruet.ac.bd,58,55,57,90,3.42,3-1
2103038@student.ruet.ac.bd,64,63,57,87,3.43,3-2
2103039@student.ruet.ac.bd,63,91,84,51,1.94,1-1
2103039@student.ruet.ac.bd,64,93,90,46,1.86,1-2
2103039@student.ruet.ac.bd,55,89,92,56,1.90,2-1
2103039@student.ruet.ac.bd,68,93,91,57,2.04,2-2
2103039@student.ruet.ac.bd,61,89,80,51,1.97,3-1
2103039@student.ruet.ac.bd,60,93,88,51,1.98,3-2
2103040@student.ruet.ac.bd,91,72,67,58,2.27,1-1
2103040@student.ruet.ac.bd,86,61,65,58,2.18,1-2
2103040@student.ruet.ac.bd,94,66,67,55,2.26,2-1
2103040@student.ruet.ac.bd,91,74,69,51,2.18,2-2
2103040@student.ruet.ac.bd,90,67,66,58,2.25,3-1
2103040@student.ruet.ac.bd,86,61,73,61,2.31,3-2
2103041@student.ruet.ac.bd,74,72,69,66,2.69,1-1
2103041@student.ruet.ac.bd,81,65,67,67,2.77,1-2
2103041@student.ruet.ac.bd,75,74,75,74,2.88,2-1
2103041@student.ruet.ac.bd,78,82,73,67,2.90,2-2
2103041@student.ruet.ac.bd,77,71,69,71,2.89,3-1
2103041@student.ruet.ac.bd,77,75,65,70,2.84,3-2
2103042@student.ruet.ac.bd,65,85,87,57,2.15,1-1
2103042@student.ruet.ac.bd,73,82,81,61,2.38,1-2
2103042@student.ruet.ac.bd,70,89,91,59,2.40,2-1
2103042@student.ruet.ac.bd,64,88,92,73,2.55,2-2
2103042@student.ruet.ac.bd,71,88,83,65,2.60,3-1
2103042@student.ruet.ac.bd,73,82,86,59,2.58,3-2
2103043@student.ruet.ac.bd,63,61,56,84,3.29,1-1
2103043@student.ruet.ac.bd,70,57,51,73,3.09,1-2
2103043@student.ruet.ac.bd,60,58,56,76,3.06,2-1
2103043@student.ruet.ac.bd,59,68,53,78,3.09,2-2
2103043@student.ruet.ac.bd,65,63,64,75,3.07,3-1
2103043@student.ruet.ac.bd,60,66,58,81,3.09,3-2
2103044@student.ruet.ac.bd,85,83,88,59,2.60,1-1
2103044@student.ruet.ac.bd,93,91,88,63,2.77,1-2
2103044@student.ruet.ac.bd,95,90,81,53,2.72,2-1
2103044@student.ruet.ac.bd,99,97,91,54,2.70,2-2
2103044@student.ruet.ac.bd,92,90,82,56,2.66,3-1
2103044@student.ruet.ac.bd,93,83,81,59,2.62,3-2
2103045@student.ruet.ac.bd,72,72,65,69,2.88,1-1
2103045@student.ruet.ac.bd,73,71,71,69,2.86,1-2
2103045@student.ruet.ac.bd,76,75,67,77,2.98,2-1
2103045@student.ruet.ac.bd,65,74,74,83,3.06,2-2
2103045@student.ruet.ac.bd,70,72,66,76,3.08,3-1
2103045@student.ruet.ac.bd,73,68,74,77,3.09,3-2
2103046@student.ruet.ac.bd,65,66,61,79,3.12,1-1
2103046@student.ruet.ac.bd,61,68,68,83,3.12,1-2
2103046@student.ruet.ac.bd,59,61,58,86,3.15,2-1
2103046@student.ruet.ac.bd,57,71,72,84,3.18,2-2
2103046@student.ruet.ac.bd,67,64,60,86,3.22,3-1
2103046@student.ruet.ac.bd,58,71,68,79,3.20,3-2
2103047@student.ruet.ac.bd,61,73,67,78,3.13,1-1
2103047@student.ruet.ac.bd,64,65,73,69,2.93,1-2
2103047@student.ruet.ac.bd,65,72,72,82,3.08,2-1
2103047@student.ruet.ac.bd,61,73,70,77,3.08,2-2
2103047@student.ruet.ac.bd,56,71,75,74,3.03,3-1
2103047@student.ruet.ac.bd,59,73,72,71,3.01,3-2
2103048@student.ruet.ac.bd,85,79,84,76,3.15,1-1
2103048@student.ruet.ac.bd,83,83,80,74,3.19,1-2
2103048@student.ruet.ac.bd,87,79,85,73,3.15,2-1
2103048@student.ruet.ac.bd,91,78,77,74,3.15,2-2
2103048@student.ruet.ac.bd,83,82,79,68,3.11,3-1
2103048@student.ruet.ac.bd,89,81,86,75,3.14,3-2
2103049@student.ruet.ac.bd,79,67,65,69,2.56,1-1
2103049@student.ruet.ac.bd,80,60,57,78,2.86,1-2
2103049@student.ruet.ac.bd,72,62,66,71,2.86,2-1
2103049@student.ruet.ac.bd,78,62,55,83,2.98,2-2
2103049@student.ruet.ac.bd,74,76,67,80,3.06,3-1
2103049@student.ruet.ac.bd,77,67,73,78,3.09,3-2
2103050@student.ruet.ac.bd,76,90,83,75,3.12,1-1
2103050@student.ruet.ac.bd,80,88,98,70,3.11,1-2
2103050@student.ruet.ac.bd,83,89,93,62,3.03,2-1
2103050@student.ruet.ac.bd,84,99,93,70,3.07,2-2
2103050@student.ruet.ac.bd,89,93,92,64,3.05,3-1
2103050@student.ruet.ac.bd,76,93,93,65,3.01,3-2
2103051@student.ruet.ac.bd,91,82,87,52,2.04,1-1
2103051@student.ruet.ac.bd,93,77,78,49,1.85,1-2
2103051@student.ruet.ac.bd,91,82,87,59,2.11,2-1
2103051@student.ruet.ac.bd,96,73,71,50,2.09,2-2
2103051@student.ruet.ac.bd,91,81,81,57,2.18,3-1
2103051@student.ruet.ac.bd,94,91,83,58,2.28,3-2
2103052@student.ruet.ac.bd,70,62,63,89,3.60,1-1
2103052@student.ruet.ac.bd,56,61,69,79,3.31,1-2
2103052@student.ruet.ac.bd,63,66,60,84,3.33,2-1
2103052@student.ruet.ac.bd,63,73,73,86,3.37,2-2
2103052@student.ruet.ac.bd,67,70,66,87,3.39,3-1
2103052@student.ruet.ac.bd,73,65,71,83,3.39,3-2
2103053@student.ruet.ac.bd,94,61,61,68,2.94,1-1
2103053@student.ruet.ac.bd,90,54,59,69,2.86,1-2
2103053@student.ruet.ac.bd,94,61,62,70,2.88,2-1
2103053@student.ruet.ac.bd,89,57,63,71,2.91,2-2
2103053@student.ruet.ac.bd,91,59,57,70,2.91,3-1
2103053@student.ruet.ac.bd,92,60,57,73,2.93,3-2
2103054@student.ruet.ac.bd,84,88,83,65,2.79,1-1
2103054@student.ruet.ac.bd,87,82,87,68,2.90,1-2
2103054@student.ruet.ac.bd,90,90,86,56,2.80,2-1
2103054@student.ruet.ac.bd,90,82,90,65,2.81,2-2
2103054@student.ruet.ac.bd,81,83,87,60,2.77,3-1
2103054@student.ruet.ac.bd,86,85,88,66,2.80,3-2
2103055@student.ruet.ac.bd,79,86,82,78,3.38,1-1
2103055@student.ruet.ac.bd,74,86,87,81,3.39,1-2
2103055@student.ruet.ac.bd,82,84,90,79,3.35,2-1
2103055@student.ruet.ac.bd,79,83,82,83,3.40,2-2
2103055@student.ruet.ac.bd,82,85,91,72,3.33,3-1
2103055@student.ruet.ac.bd,79,89,79,83,3.38,3-2
2103056@student.ruet.ac.bd,70,81,79,77,3.12,1-1
2103056@student.ruet.ac.bd,69,87,85,70,3.08,1-2
2103056@student.ruet.ac.bd,67,93,91,65,2.97,2-1
2103056@student.ruet.ac.bd,72,87,75,62,2.91,2-2
2103056@student.ruet.ac.bd,66,90,84,69,2.92,3-1
2103056@student.ruet.ac.bd,70,95,89,73,2.94,3-2
2103057@student.ruet.ac.bd,76,95,83,53,2.40,1-1
2103057@student.ruet.ac.bd,83,84,82,60,2.52,1-2
2103057@student.ruet.ac.bd,79,82,81,47,2.27,2-1
2103057@student.ruet.ac.bd,80,91,86,48,2.14,2-2
2103057@student.ruet.ac.bd,81,87,91,49,2.09,3-1
2103057@student.ruet.ac.bd,76,92,84,43,1.94,3-2
2103058@student.ruet.ac.bd,71,64,60,75,3.00,1-1
2103058@student.ruet.ac.bd,70,66,67,76,3.07,1-2
2103058@student.ruet.ac.bd,59,60,59,69,2.92,2-1
2103058@student.ruet.ac.bd,64,54,57,67,2.86,2-2
2103058@student.ruet.ac.bd,64,61,57,71,2.85,3-1
2103058@student.ruet.ac.bd,63,57,60,73,2.85,3-2
2103059@student.ruet.ac.bd,80,60,60,59,2.48,1-1
2103059@student.ruet.ac.bd,81,63,64,63,2.52,1-2
2103059@student.ruet.ac.bd,88,61,55,66,2.54,2-1
2103059@student.ruet.ac.bd,84,55,63,64,2.56,2-2
2103059@student.ruet.ac.bd,86,57,62,63,2.57,3-1
2103059@student.ruet.ac.bd,85,60,62,67,2.61,3-2
2103060@student.ruet.ac.bd,86,94,94,48,2.02,1-1
2103060@student.ruet.ac.bd,82,96,87,56,2.07,1-2
2103060@student.ruet.ac.bd,79,84,90,63,2.17,2-1
2103060@student.ruet.ac.bd,77,91,96,58,2.28,2-2
2103060@student.ruet.ac.bd,82,98,92,60,2.36,3-1
2103060@student.ruet.ac.bd,80,87,89,57,2.42,3-2
