student_email,student_roll,university,department,semester,course_code,course_title,course_type,credits,attendance_10,assignments_10,final_60,total_80,letter_grade,grade_point_4
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-1,1103,Theory Course 1-1 (03),theory,3.0,7.8,4.2,25.9,37.9,F,0.00
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-1,1105,Theory Course 1-1 (05),theory,3.0,5.1,6.2,29.8,41.0,D,2.00
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-1,1107,Theory Course 1-1 (07),theory,3.0,5.8,7.2,42.5,55.6,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-1,1109,Theory Course 1-1 (09),theory,3.0,6.2,7.9,25.6,39.7,F,0.00
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-1,1102,Sessional/Lab 1-1 (02),lab,1.5,7.8,7.2,40.5,55.6,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-1,1104,Sessional/Lab 1-1 (04),lab,1.5,5.7,7.9,52.4,66.0,A-,3.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-1,1106,Sessional/Lab 1-1 (06),lab,1.5,6.4,9.0,43.1,58.5,B,3.00
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-2,1201,Theory Course 1-2 (01),theory,3.0,7.2,6.1,44.9,58.1,B,3.00
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-2,1203,Theory Course 1-2 (03),theory,3.0,4.0,6.8,43.3,54.0,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-2,1205,Theory Course 1-2 (05),theory,3.0,5.7,6.3,51.0,63.1,B+,3.25
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-2,1207,Theory Course 1-2 (07),theory,3.0,6.1,6.2,42.0,54.3,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-2,1209,Theory Course 1-2 (09),theory,3.0,6.5,6.5,33.6,46.6,C,2.25
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-2,1202,Sessional/Lab 1-2 (02),lab,1.5,6.3,5.7,48.7,60.8,B+,3.25
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-2,1204,Sessional/Lab 1-2 (04),lab,1.5,6.1,6.1,34.1,46.3,C,2.25
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-2,1206,Sessional/Lab 1-2 (06),lab,1.5,8.8,8.1,32.6,49.5,C+,2.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-1,2101,Theory Course 2-1 (01),theory,3.0,4.6,5.1,43.7,53.5,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-1,2103,Theory Course 2-1 (03),theory,3.0,8.6,8.3,36.4,53.2,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-1,2105,Theory Course 2-1 (05),theory,3.0,5.7,4.9,40.7,51.4,C+,2.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-1,2107,Theory Course 2-1 (07),theory,3.0,6.0,4.5,50.8,61.3,B+,3.25
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-1,2109,Theory Course 2-1 (09),theory,3.0,8.0,5.2,43.3,56.5,B,3.00
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-1,2102,Sessional/Lab 2-1 (02),lab,1.5,9.7,7.6,47.5,64.8,A-,3.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-1,2104,Sessional/Lab 2-1 (04),lab,1.5,5.8,7.0,35.4,48.2,C+,2.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-1,2106,Sessional/Lab 2-1 (06),lab,1.5,6.0,6.0,51.7,63.7,B+,3.25
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-2,2201,Theory Course 2-2 (01),theory,3.0,7.3,8.0,33.8,49.0,C+,2.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-2,2203,Theory Course 2-2 (03),theory,3.0,6.8,8.4,31.1,46.2,C,2.25
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-2,2205,Theory Course 2-2 (05),theory,3.0,7.3,5.6,43.1,56.0,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-2,2207,Theory Course 2-2 (07),theory,3.0,6.8,6.7,35.5,49.0,C+,2.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-2,2209,Theory Course 2-2 (09),theory,3.0,5.9,5.6,28.9,40.4,D,2.00
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-2,2202,Sessional/Lab 2-2 (02),lab,1.5,6.1,8.5,31.8,46.4,C,2.25
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-2,2204,Sessional/Lab 2-2 (04),lab,1.5,8.2,5.4,42.1,55.8,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,2-2,2206,Sessional/Lab 2-2 (06),lab,1.5,7.9,7.4,35.0,50.3,C+,2.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-1,3101,Theory Course 3-1 (01),theory,3.0,7.7,4.3,36.9,48.9,C+,2.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-1,3103,Theory Course 3-1 (03),theory,3.0,6.0,7.8,31.9,45.7,C,2.25
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-1,3105,Theory Course 3-1 (05),theory,3.0,5.4,5.1,42.4,53.0,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-1,3107,Theory Course 3-1 (07),theory,3.0,7.5,6.4,41.4,55.2,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-1,3109,Theory Course 3-1 (09),theory,3.0,9.0,6.3,34.7,50.0,C+,2.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-1,3102,Sessional/Lab 3-1 (02),lab,1.5,6.0,7.0,41.0,54.1,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-1,3104,Sessional/Lab 3-1 (04),lab,1.5,7.5,6.2,30.1,43.8,D,2.00
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-1,3106,Sessional/Lab 3-1 (06),lab,1.5,7.9,7.1,40.8,55.8,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-1,3108,Sessional/Lab 3-1 (08),lab,1.5,5.8,7.2,38.9,52.0,C+,2.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-2,3201,Theory Course 3-2 (01),theory,3.0,5.5,5.8,58.9,70.2,A,3.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-2,3203,Theory Course 3-2 (03),theory,3.0,7.9,6.5,22.3,36.7,F,0.00
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-2,3205,Theory Course 3-2 (05),theory,3.0,6.4,3.8,28.5,38.7,F,0.00
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-2,3207,Theory Course 3-2 (07),theory,3.0,7.3,7.1,38.1,52.5,B-,2.75
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-2,3209,Theory Course 3-2 (09),theory,3.0,6.7,6.9,48.7,62.2,B+,3.25
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-2,3202,Sessional/Lab 3-2 (02),lab,1.5,5.9,6.8,52.4,65.0,A-,3.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-2,3204,Sessional/Lab 3-2 (04),lab,1.5,6.6,5.4,38.4,50.4,C+,2.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-2,3206,Sessional/Lab 3-2 (06),lab,1.5,7.6,9.7,34.6,51.8,C+,2.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,3-2,3208,Sessional/Lab 3-2 (08),lab,1.5,5.6,8.8,42.9,57.3,B,3.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-1,1101,Theory Course 1-1 (01),theory,3.0,8.6,9.6,33.3,51.4,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-1,1103,Theory Course 1-1 (03),theory,3.0,6.5,7.7,37.2,51.4,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-1,1105,Theory Course 1-1 (05),theory,3.0,7.1,8.0,40.0,55.1,B-,2.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-1,1107,Theory Course 1-1 (07),theory,3.0,6.1,6.3,52.9,65.2,A-,3.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-1,1109,Theory Course 1-1 (09),theory,3.0,6.2,6.0,56.8,69.1,A,3.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-1,1102,Sessional/Lab 1-1 (02),lab,1.5,6.7,7.9,42.1,56.7,B,3.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-1,1104,Sessional/Lab 1-1 (04),lab,1.5,5.8,8.3,28.4,42.4,D,2.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-1,1106,Sessional/Lab 1-1 (06),lab,1.5,7.3,8.1,52.2,67.7,A-,3.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-2,1201,Theory Course 1-2 (01),theory,3.0,5.2,7.3,33.2,45.7,C,2.25
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-2,1203,Theory Course 1-2 (03),theory,3.0,6.2,6.6,37.8,50.6,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-2,1205,Theory Course 1-2 (05),theory,3.0,6.2,8.1,28.5,42.8,D,2.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-2,1207,Theory Course 1-2 (07),theory,3.0,6.6,9.7,39.7,55.9,B-,2.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-2,1209,Theory Course 1-2 (09),theory,3.0,4.5,7.2,46.9,58.6,B,3.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-2,1202,Sessional/Lab 1-2 (02),lab,1.5,8.1,7.1,39.3,54.5,B-,2.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-2,1204,Sessional/Lab 1-2 (04),lab,1.5,7.7,9.2,45.4,62.4,B+,3.25
2103003@student.ruet.ac.bd,2103003,RUET,CSE,1-2,1206,Sessional/Lab 1-2 (06),lab,1.5,7.2,9.3,32.2,48.7,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-1,2101,Theory Course 2-1 (01),theory,3.0,6.1,5.4,37.5,49.0,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-1,2103,Theory Course 2-1 (03),theory,3.0,6.1,7.4,30.1,43.6,D,2.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-1,2105,Theory Course 2-1 (05),theory,3.0,7.2,7.0,31.1,45.2,C,2.25
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-1,2107,Theory Course 2-1 (07),theory,3.0,8.4,7.9,41.8,58.1,B,3.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-1,2109,Theory Course 2-1 (09),theory,3.0,5.0,8.8,35.9,49.7,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-1,2102,Sessional/Lab 2-1 (02),lab,1.5,8.2,7.0,40.1,55.2,B-,2.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-1,2104,Sessional/Lab 2-1 (04),lab,1.5,7.8,8.5,34.3,50.6,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-1,2106,Sessional/Lab 2-1 (06),lab,1.5,6.7,6.6,38.9,52.2,B-,2.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-2,2201,Theory Course 2-2 (01),theory,3.0,7.1,7.5,42.2,56.8,B,3.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-2,2203,Theory Course 2-2 (03),theory,3.0,6.0,6.3,38.1,50.4,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-2,2205,Theory Course 2-2 (05),theory,3.0,6.6,8.1,33.9,48.6,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-2,2207,Theory Course 2-2 (07),theory,3.0,7.3,6.9,35.4,49.6,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-2,2209,Theory Course 2-2 (09),theory,3.0,5.1,8.4,38.9,52.5,B-,2.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-2,2202,Sessional/Lab 2-2 (02),lab,1.5,8.3,9.1,37.3,54.7,B-,2.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-2,2204,Sessional/Lab 2-2 (04),lab,1.5,5.7,7.8,40.0,53.5,B-,2.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,2-2,2206,Sessional/Lab 2-2 (06),lab,1.5,5.7,7.2,35.2,48.1,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-1,3101,Theory Course 3-1 (01),theory,3.0,6.0,5.4,52.1,63.6,B+,3.25
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-1,3103,Theory Course 3-1 (03),theory,3.0,7.8,9.0,46.6,63.4,B+,3.25
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-1,3105,Theory Course 3-1 (05),theory,3.0,5.4,6.8,45.0,57.2,B,3.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-1,3107,Theory Course 3-1 (07),theory,3.0,6.3,8.8,45.5,60.7,B+,3.25
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-1,3109,Theory Course 3-1 (09),theory,3.0,7.1,8.4,44.5,60.1,B+,3.25
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-1,3102,Sessional/Lab 3-1 (02),lab,1.5,6.0,9.0,44.5,59.5,B,3.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-1,3104,Sessional/Lab 3-1 (04),lab,1.5,5.7,6.5,38.3,50.5,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-1,3106,Sessional/Lab 3-1 (06),lab,1.5,5.5,7.2,57.1,69.8,A,3.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-1,3108,Sessional/Lab 3-1 (08),lab,1.5,6.9,7.5,31.4,45.8,C,2.25
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-2,3201,Theory Course 3-2 (01),theory,3.0,7.5,8.2,40.0,55.6,B-,2.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-2,3203,Theory Course 3-2 (03),theory,3.0,5.1,7.5,43.9,56.5,B,3.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-2,3205,Theory Course 3-2 (05),theory,3.0,5.6,7.3,51.7,64.6,A-,3.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-2,3207,Theory Course 3-2 (07),theory,3.0,6.4,6.3,38.0,50.7,C+,2.50
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-2,3209,Theory Course 3-2 (09),theory,3.0,7.9,9.6,43.1,60.5,B+,3.25
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-2,3202,Sessional/Lab 3-2 (02),lab,1.5,6.6,8.7,39.7,55.0,B-,2.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-2,3204,Sessional/Lab 3-2 (04),lab,1.5,7.2,9.3,38.0,54.5,B-,2.75
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-2,3206,Sessional/Lab 3-2 (06),lab,1.5,9.8,8.1,38.2,56.1,B,3.00
2103003@student.ruet.ac.bd,2103003,RUET,CSE,3-2,3208,Sessional/Lab 3-2 (08),lab,1.5,6.7,7.8,44.1,58.6,B,3.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-1,1101,Theory Course 1-1 (01),theory,3.0,8.0,6.6,33.2,47.8,C,2.25
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-1,1103,Theory Course 1-1 (03),theory,3.0,8.8,6.1,35.3,50.2,C+,2.50
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-1,1105,Theory Course 1-1 (05),theory,3.0,8.6,5.0,28.2,41.7,D,2.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-1,1107,Theory Course 1-1 (07),theory,3.0,8.3,5.4,29.2,42.8,D,2.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-1,1109,Theory Course 1-1 (09),theory,3.0,5.2,4.0,30.1,39.2,F,0.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-1,1102,Sessional/Lab 1-1 (02),lab,1.5,4.6,6.5,20.7,31.8,F,0.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-1,1104,Sessional/Lab 1-1 (04),lab,1.5,9.5,5.7,16.5,31.8,F,0.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-1,1106,Sessional/Lab 1-1 (06),lab,1.5,8.3,6.0,34.9,49.1,C+,2.50
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-2,1201,Theory Course 1-2 (01),theory,3.0,5.7,6.1,26.7,38.5,F,0.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-2,1203,Theory Course 1-2 (03),theory,3.0,7.2,5.7,18.3,31.2,F,0.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-2,1205,Theory Course 1-2 (05),theory,3.0,7.1,5.7,39.8,52.7,B-,2.75
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-2,1207,Theory Course 1-2 (07),theory,3.0,7.5,6.4,31.2,45.1,C,2.25
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-2,1209,Theory Course 1-2 (09),theory,3.0,7.5,6.6,36.1,50.1,C+,2.50
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-2,1202,Sessional/Lab 1-2 (02),lab,1.5,8.6,6.7,30.0,45.3,C,2.25
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-2,1204,Sessional/Lab 1-2 (04),lab,1.5,8.3,6.8,52.1,67.2,A-,3.50
2103004@student.ruet.ac.bd,2103004,RUET,CSE,1-2,1206,Sessional/Lab 1-2 (06),lab,1.5,6.6,7.3,22.1,36.0,F,0.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,2-1,2101,Theory Course 2-1 (01),theory,3.0,9.7,6.4,22.8,38.9,F,0.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,2-1,2103,Theory Course 2-1 (03),theory,3.0,6.2,5.7,21.0,33.0,F,0.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,2-1,2105,Theory Course 2-1 (05),theory,3.0,8.4,4.7,30.7,43.8,D,2.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,2-1,2107,Theory Course 2-1 (07),theory,3.0,6.7,6.0,40.3,53.0,B-,2.75
2103004@student.ruet.ac.bd,2103004,RUET,CSE,2-1,2109,Theory Course 2-1 (09),theory,3.0,6.8,8.9,41.2,56.9,B,3.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,2-1,2102,Sessional/Lab 2-1 (02),lab,1.5,8.4,9.0,30.1,47.5,C,2.25
2103004@student.ruet.ac.bd,2103004,RUET,CSE,2-1,2104,Sessional/Lab 2-1 (04),lab,1.5,8.6,5.2,36.0,49.8,C+,2.50
2103004@student.ruet.ac.bd,2103004,RUET,CSE,2-1,2106,Sessional/Lab 2-1 (06),lab,1.5,6.9,8.6,14.5,30.0,F,0.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,2-2,2201,Theory Course 2-2 (01),theory,3.0,7.6,5.7,28.3,41.5,D,2.00
2103004@student.ruet.ac.bd,2103004,RUET,CSE,2-2,2203,Theory Course 2-2 (03),theory,3.0,5.9,5.9,36.6,48.5,C+,2.50
